license,program_one_line_description,src
gpl_v3,"Python utility ""Neo4J Database Filter"". Allows to send queries to Neo4J server via PyQt5.",sparkling\grimoire\pyqt5\DatabaseFilter.py
gpl_v3,"Python utility ""Grimoire File Renamer"". Allows to rename files on disk via PyQt5.",sparkling\grimoire\pyqt5\FileRenamer.py
gpl_v3,"Python utility ""Grimoire MainWindow"". Contains specific PyQt5 app functionality.",sparkling\grimoire\pyqt5\MainWindow.py
gpl_v3,"Python utility ""Neo4J Node Viewer"". Allows to present contents of a Neo4J server in a ""Pandas TableView"".",sparkling\grimoire\pyqt5\NodeViewer.py
gpl_v3,"Python utility ""Grimoire Plugin Preset Editor"".",sparkling\grimoire\pyqt5\PlaylistPluginsPresetsEditor.py
gpl_v3,"Python utility ""Grimoire Playlist Selector"". Allows to manage ""playlist Neo4J nodes"" via PyQt5.",sparkling\grimoire\pyqt5\PlaylistSelector.py
gpl_v3,"Python utility ""Grimoire Playlist Viewer"". Allows to view the contents of a ""playlist Neo4J node"" via PyQt5.",sparkling\grimoire\pyqt5\PlaylistViewer.py
gpl_v3,"Python utility ""Tab Widget for Playlist Viewers"". Allows to to organize ""Grimoire Playlist Viewer""s into tabs.",sparkling\grimoire\pyqt5\TabWidgetForPlaylistViewers.py
gpl_v3,"Python utility ""Grimoire Neo4J Tree View"".",sparkling\grimoire\pyqt5\TreeFilter.py
bsd_0,"Python utility ""Main HostApp Doer"". Allows to conveniently access/manage contents of a folder.",sparkling\host_app\MainDoer.py
bsd_0,--,sparkling\host_app\pyqt5\CentralWidget.py
gpl_v3,"Python utility ""Exception Viewer"". Allows to view current python log via PyQt5.",sparkling\host_app\pyqt5\ExceptionViewer.py
gpl_v3,"Python class ""Demo Host App"".",sparkling\host_app\pyqt5\HostApp.py
bsd_0,--,sparkling\host_app\pyqt5\MainWindow.py
bsd_0,"Python utility ""MainPaths"". Top-level project paths organizer.",sparkling\main.py
gpl_v3,"Python utility ""Neo4J Connection"". A custom interface to data on a Neo4J server.",sparkling\neo4j\Connection.py
gpl_v3,"Python utility ""Neo4J Columns"". A static interface to specific nodes on a Neo4J server.",sparkling\neo4j\Neo4jColumns.py
gpl_v3,"Python utility ""Neo4J Tree View"".",sparkling\neo4j\NeoTreeView.py
gpl_v3,"Python utility ""Neo4J Tree View"".",sparkling\path_eater\PathEater.py
